Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
Wikipedia kikôngo,Kongo,Latn,kg,16,Unknown date,
Мокшень Википедиесь(Mokšenj Vikipedijesʹ),Moksha,Cyrl,mdf,16,26 May 2008,
Wikipedie in novial,Novial,Latn,nov,16,Unknown date,
Wikipitiya nu Sakizaya,Sakizaya,Latn,szy,16,22 November 2019,
Uicchipèdie tarandíne,Tarantino,Latn,roa-tara,16,Unknown date,
ዊኪፐድያ ብትግርኛ(Wikipädya bətəgrəñña),Tigrinya,Ethi,ti,16,Unknown date,
Wikibitia na Tayal,Atayal,Latn,tay,15,Unknown date,
Kalaallisut Wikipedia,Greenlandic,Latn,kl,15,Unknown date,
Gurenɛ Wikipedia,Farefare (Gurene),Latn,gur,15,Unknown date,
Къарачай-Малкъар Википедия(Qaraçay-Malqar Wikipédiya),Karachay-Balkar,Cyrl,krc,15,19 March 2010,
Wikipedia Gĩgĩkũyũ,Kikuyu,Latn,ki,15,Unknown date,
Лакку мазрал Википедия(Lak:u mazral Vikipediaˤ),Lak,Cyrl,lbe,15,Unknown date,
ni'o la .uikipedi'as. pe lo jbobau,Lojban,Latn,jbo,15,Unknown date,
Тӱштӱк алтай Википедия(Tüštük altay Vikipediya),Southern Altai,Cyrl,alt,15,22 February 2021,
Vekepete'a Tsėhésenėstsestȯtse,Cheyenne,Latn,chy,14,Unknown date,
Адыгэбзэ Уикипедиэ(Adıgəbzə Wikipediă),Kabardian,Cyrl,kbd,14,Unknown date,
ဝဳကဳပဳဒဳယာမန်(Wīkīpīdīya mawn),Mon,Mymr,mnw,14,4 November 2019,
ပအိုဝ်ႏဝီခီပီးဒီးယား(Pǎʼǒ wikhipi:di:ya),Pa'O,Mymr,blk,14,Unknown date,
Wikipedia Pangasinan,Pangasinan,Latn,pag,14,Unknown date,
Тыва Википедия(Tıwa Vikipediya),Tuvan,Cyrl,tyv,14,11 August 2013,
Wikipedi Bamanankan,Bambara,Latn,bm,14,Unknown date,
Vaka-Viti Wikipedia,Fijian,Latn,fj,13,Unknown date,
Wikipédja an kriyòl gwiyannen,French Guianese Creole,Latn,gcr,13,22 November 2019,
Кырык марла Википеди(Kyryk marla Vikipedi),Hill Mari,Cyrl,mrj,13,17 October 2010,
Wikipedia Sesotho sa Leboa,Northern Sotho,Latn,nso,13,Unknown date,
Ποντιακόν Βικιπαίδεια(Pontiakón Bikipaídeia),Pontic Greek,Grek,pnt,13,5 March 2009,
Wikipedia gagana Sāmoa,Samoan,Latn,sm,13,Unknown date,
Wïkïpêdïyäa na Sängö,Sango,Latn,sg,13,Unknown date,
Seediq Wikipidiya,Seediq,Latn,trv,13,Unknown date,
Vitipetia Reo Tahiti,Tahitian,Latn,ty,13,Unknown date,
Wikipedia ʻi lea fakatonga,Tongan,Latn,to,13,January 2004 (unknown day),
Wikipeetia süka wayuunaiki,Wayuu,Latn,guc,13,Unknown date,
Хальмг Бикипеди(Haľmg Vikipedi),Kalmyk Oirat,Cyrl,xal,12,24 March 2006,
Перем коми Википедия(Perem komi Vikipedija),Komi-Permyak,Cyrl,koi,12,19 October 2010,
विकिपीडिया,Angika,Deva,anp,11,22 March 2023,
Atikamekw Wikipetcia,Atikamekw,Latn,atj,11,Unknown date,
Norfuk Wikkapedya,Norfuk,Latn,pih,11,Unknown date,
wikipidiya nua pinayuanan,Paiwan,Latn,pwn,11,Unknown date,
पालि विकिपीडिया(Pāli vikipīḍiyā),Pali,Deva,pi,11,Unknown date,
Seelterfräiske Wikipedia,Saterland Frisian,Latn,stq,11,Unknown date,
Wikipedia Batak Toba,Toba Batak,Latn,bbc,10,Unknown date,
Dagaare Wikipiideɛ,Dagaare,Latn,dga,9,Unknown date,
Wikipiidia Kʋsaal,Kusaal,Latn,kus,8,Unknown date,
