Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
文言維基大典(Wéijī dàdiǎn wényán),Classical Chinese,Hant,zh-classical,55,31 July 2006,
Wikipedia Fulfude,Fula,Latn,ff,53,Unknown date,
پښتو ويکيپېډيا(Pax̌tó wīkīpeḍyā),Pashto,Arab,ps,53,2003 (unknown date),
རྫོང་ཁ་ཝེ་ཁེ་རིག་མཛོད(Rdzong kha we khe rig mdzod),Dzongkha,Tibt,dz,52,Unknown date,
پنجابی وکیپیڈیا(Pañjābī vikīpīḍīā),Western Punjabi,Arab,pnb,51,24 October 2008,
Qaraqalpaq Wikipediası,Karakalpak,Latn,kaa,50,Unknown date,
Plattdüütsche Wikipedia,Low German,Latn,nds,50,April 2006 (unknown day),
Engliscan Ƿikipǣdia,Old English,Latn,ang,50,Unknown date,
Ślůnsko Wikipedyjo,Silesian,Latn,szl,50,26 May 2008,
Qırımtatarca Vikipediya,Crimean Tatar,Latn,crh,49,12 January 2008,
ଓଡ଼ିଆ ଉଇକିପିଡ଼ିଆ(Oṛiā uikipiṛiā),Odia,Orya,or,49,June 2002 (unknown day),
Wikipedia isiZulu,Zulu,Latn,zu,49,2003 (unknown date),
Fiji Baat Wikipedia,Fiji Hindi,Latn,hif,48,Unknown date,
አማርኛ ዊኪፔዲያ(Amarəñña wikipediya),Amharic,Ethi,am,47,December 2002 (unknown day),
Wikipedia ’n sicilianu,Sicilian,Latn,scn,47,5 October 2004,
Wikipédia basa Sunda,Sundanese,Latn,su,47,15 March 2004,
ويكيبيديا المغربية(Wīkībīdiyā maḡribiyy),Moroccan Arabic,Arab,ary,46,20 July 2020,
Qhichwa Wikipidiya,Quechua (Southern Quechua),Latn,qu,46,January 2003 (unknown day),
बिहारी विकिपीडिया(Bihārī vikipīḍiyā),Bihari (Bhojpuri),Deva,bh,46,21 February 2003,
Føroysk Wikipedia,Faroese,Latn,fo,44,30 May 2004,
Wikipedya kreyòl ayisyen,Haitian Creole,Latn,ht,44,August 2005 (unknown day),
